treatment,tree_id,deploy,metabolite,hfa,site_num,tree_num,decomp_day,well_id,time,od_corrected
AB,HOK,HOK ,SEK,A,2,4,5,4B,120,0.7355
P,SEK,HOK ,SEK,H,2,4,5,4C,120,0.2575
AB,SEK,HOK ,SEK,H,2,4,5,4D,120,1.1285
P,SEK,SEK ,SEK,H,2,4,5,4E,120,1.2115
AB,SEK,SEK ,SEK,H,2,4,5,4F,120,0.2885
P,HOK,SEK ,SEK,A,2,4,5,4G,120,0.8945
AB,HOK,SEK ,SEK,A,2,4,5,4H,120,0.2915
P,HOK,HOK ,SEK,A,2,4,5,5A,120,1.5265
AB,HOK,HOK ,SEK,A,2,4,5,5B,120,1.1485
P,SEK,HOK ,SEK,H,2,4,5,5C,120,1.1905
AB,SEK,HOK ,SEK,H,2,4,5,5D,120,0.7535
P,SEK,SEK ,SEK,H,2,4,5,5E,120,1.6395
AB,SEK,SEK ,SEK,H,2,4,5,5F,120,1.5105
P,HOK,SEK ,SEK,A,2,4,5,5G,120,0.4855
AB,HOK,SEK ,SEK,A,2,4,5,5H,120,1.5725
P,HOK,HOK ,HOK,H,2,4,5,6A,120,1.2765
AB,HOK,HOK ,HOK,H,2,4,5,6B,120,0.3705
P,SEK,HOK ,HOK,A,2,4,5,6C,120,0.5035
AB,SEK,HOK ,HOK,A,2,4,5,6D,120,0.4705
P,SEK,SEK ,HOK,A,2,4,5,6E,120,1.2995
AB,SEK,SEK ,HOK,A,2,4,5,6F,120,1.1805
P,HOK,SEK ,HOK,H,2,4,5,6G,120,0.7075
AB,HOK,SEK ,HOK,H,2,4,5,6H,120,1.4045
P,HOK,HOK ,HOK,H,2,3,5,7A,120,0.7525
AB,HOK,HOK ,HOK,H,2,3,5,7B,120,0.0985
P,SEK,HOK ,HOK,A,2,3,5,7C,120,0.7865
AB,SEK,HOK ,HOK,A,2,3,5,7D,120,0.2545
P,SEK,SEK ,HOK,A,2,3,5,7E,120,0.5955
AB,SEK,SEK ,HOK,A,2,3,5,7F,120,1.1735
P,HOK,SEK ,HOK,H,2,3,5,7G,120,1.1275
AB,HOK,SEK ,HOK,H,2,3,5,7H,120,1.7125
P,HOK,HOK ,HOK,H,2,3,5,8A,120,0.2685
AB,HOK,HOK ,HOK,H,2,3,5,8B,120,0.1795
P,SEK,HOK ,HOK,A,2,3,5,8C,120,0.2885
AB,SEK,HOK ,HOK,A,2,3,5,8D,120,1.0845
P,SEK,SEK ,HOK,A,2,3,5,8E,120,1.5085
AB,SEK,SEK ,HOK,A,2,3,5,8F,120,0.2275
P,HOK,SEK ,HOK,H,2,3,5,8G,120,0.7165
AB,HOK,SEK ,HOK,H,2,3,5,8H,120,0.7695
P,HOK,HOK ,HOK,H,2,3,5,9A,120,0.3335
AB,HOK,HOK ,HOK,H,2,3,5,9B,120,0.3025
P,SEK,HOK ,HOK,A,2,3,5,9C,120,0.3655
AB,SEK,HOK ,HOK,A,2,3,5,9D,120,0.2795
P,SEK,SEK ,HOK,A,2,3,5,9E,120,1.5275
AB,SEK,SEK ,HOK,A,2,3,5,9F,120,0.3505
P,HOK,SEK ,HOK,H,2,3,5,9G,120,1.2025
AB,HOK,SEK ,HOK,H,2,3,5,9H,120,0.8405
P,HOK,HOK ,HOK,H,2,2,5,10A,120,0.7965
AB,HOK,HOK ,HOK,H,2,2,5,10B,120,0.8875
P,SEK,HOK ,HOK,A,2,2,5,10C,120,0.8455
AB,SEK,HOK ,HOK,A,2,2,5,10D,120,1.2875
P,SEK,SEK ,HOK,A,2,2,5,10E,120,0.6945
AB,SEK,SEK ,HOK,A,2,2,5,10F,120,1.0555
P,HOK,SEK ,HOK,H,2,2,5,10G,120,1.0165
AB,HOK,SEK ,HOK,H,2,2,5,10H,120,1.5235
P,HOK,HOK ,SEK,A,1,5,5,1A,120,0.471
AB,HOK,HOK ,SEK,A,1,5,5,1B,120,0.371
P,SEK,HOK ,SEK,H,1,5,5,1C,120,0.226
AB,SEK,HOK ,SEK,H,1,5,5,1D,120,1.054
P,SEK,SEK ,SEK,H,1,5,5,1E,120,0.286
AB,SEK,SEK ,SEK,H,1,5,5,1F,120,0.206
P,HOK,SEK ,SEK,A,1,5,5,1G,120,1.237
AB,HOK,SEK ,SEK,A,1,5,5,1H,120,0.363
P,HOK,HOK ,SEK,A,1,5,5,2A,120,1.32
AB,HOK,HOK ,SEK,A,1,1,5,2B,120,1.608
P,SEK,HOK ,SEK,H,1,1,5,2C,120,1.022
AB,SEK,HOK ,SEK,H,1,1,5,2D,120,1.582
P,SEK,SEK ,SEK,H,1,1,5,2E,120,0.623
AB,SEK,SEK ,SEK,H,1,1,5,2F,120,0.382
P,HOK,SEK ,SEK,A,1,1,5,2G,120,0.725
AB,HOK,SEK ,SEK,A,1,1,5,2H,120,1.176
P,HOK,HOK ,SEK,A,1,1,5,3A,120,0.799
AB,HOK,HOK ,SEK,A,1,1,5,3B,120,0.188
P,SEK,HOK ,SEK,H,1,1,5,3C,120,1.268
AB,SEK,HOK ,SEK,H,1,1,5,3D,120,0.355
P,SEK,SEK ,SEK,H,1,1,5,3E,120,0.367
AB,SEK,SEK ,SEK,H,1,1,5,3F,120,0.73
P,HOK,SEK ,SEK,A,1,1,5,3G,120,1.42
AB,HOK,SEK ,SEK,A,1,1,5,3H,120,0.263
P,HOK,HOK ,SEK,A,1,1,5,4A,120,0.399
AB,HOK,HOK ,SEK,A,1,1,5,4B,120,0.54
P,SEK,HOK ,SEK,H,1,1,5,4C,120,1.166
AB,SEK,HOK ,SEK,H,1,1,5,4D,120,1.079
P,SEK,SEK ,SEK,H,1,1,5,4E,120,0.391
AB,SEK,SEK ,SEK,H,1,1,5,4F,120,0.283
P,HOK,SEK ,SEK,A,1,1,5,4G,120,0.898
AB,HOK,SEK ,SEK,A,1,1,5,4H,120,0.464
P,HOK,HOK ,SEK,A,1,1,5,5A,120,0.36
AB,HOK,HOK ,SEK,A,1,1,5,5B,120,0.86
P,SEK,HOK ,SEK,H,1,1,5,5C,120,1.015
AB,SEK,HOK ,SEK,H,1,1,5,5D,120,1.625
P,SEK,SEK ,SEK,H,1,1,5,5E,120,0.251
AB,SEK,SEK ,SEK,H,1,1,5,5F,120,0.426
P,HOK,SEK ,SEK,A,1,1,5,5G,120,1.232
AB,HOK,SEK ,SEK,A,1,1,5,5H,120,0.505
P,HOK,HOK ,HOK,H,1,5,5,6A,120,0.434
AB,HOK,HOK ,HOK,H,1,5,5,6B,120,0.067
P,SEK,HOK ,HOK,A,1,5,5,6C,120,0.7
AB,SEK,HOK ,HOK,A,1,5,5,6D,120,0.438
P,SEK,SEK ,HOK,A,1,5,5,6E,120,0.381
AB,SEK,SEK ,HOK,A,1,5,5,6F,120,1.346
P,HOK,SEK ,HOK,H,1,5,5,6G,120,1.366
AB,HOK,SEK ,HOK,H,1,5,5,6H,120,0.453
P,HOK,HOK ,HOK,H,1,5,5,7A,120,0.36
AB,HOK,HOK ,HOK,H,1,5,5,7B,120,0.261
P,SEK,HOK ,HOK,A,1,5,5,7C,120,0.633
AB,SEK,HOK ,HOK,A,1,5,5,7D,120,0.219
P,SEK,SEK ,HOK,A,1,5,5,7E,120,0.931
AB,SEK,SEK ,HOK,A,1,5,5,7F,120,0.215
P,HOK,SEK ,HOK,H,1,5,5,7G,120,0.186
AB,HOK,SEK ,HOK,H,1,5,5,7H,120,0.501
P,HOK,HOK ,HOK,H,1,5,5,8A,120,0.344
AB,HOK,HOK ,HOK,H,1,5,5,8B,120,0.262
P,SEK,HOK ,HOK,A,1,5,5,8C,120,0.263
AB,SEK,HOK ,HOK,A,1,5,5,8D,120,0.251
P,SEK,SEK ,HOK,A,1,5,5,8E,120,0.43
AB,SEK,SEK ,HOK,A,1,5,5,8F,120,0.616
P,HOK,SEK ,HOK,H,1,5,5,8G,120,1.108
AB,HOK,SEK ,HOK,H,1,5,5,8H,120,1.02
P,HOK,HOK ,HOK,H,1,4,5,9A,120,1.444
AB,HOK,HOK ,HOK,H,1,4,5,9B,120,0.666
P,SEK,HOK ,HOK,A,1,4,5,9C,120,0.422
AB,SEK,HOK ,HOK,A,1,4,5,9D,120,0.407
P,SEK,SEK ,HOK,A,1,4,5,9E,120,0.323
AB,SEK,SEK ,HOK,A,1,4,5,9FR,120,0.449
P,HOK,SEK ,HOK,H,1,4,5,9G,120,1.895
AB,HOK,SEK ,HOK,H,1,4,5,9H,120,1.73
P,HOK,HOK ,HOK,H,1,4,5,10A,120,1.16
AB,HOK,HOK ,HOK,H,1,4,5,10B,120,1.146
P,SEK,HOK ,HOK,A,1,4,5,10C,120,0.369
AB,SEK,HOK ,HOK,A,1,4,5,10D,120,0.815
P,SEK,SEK ,HOK,A,1,4,5,10E,120,0.403
AB,SEK,SEK ,HOK,A,1,4,5,10F,120,0.319
P,HOK,SEK ,HOK,H,1,4,5,10G,120,0.464
AB,HOK,SEK ,HOK,H,1,4,5,10H,120,0.359
P,HOK,HOK ,SEK,A,2,5,5,1A,960,0.482
AB,HOK,HOK ,SEK,A,2,5,5,1B,960,0.84
P,SEK,HOK ,SEK,H,2,5,5,1C,960,0.518
AB,SEK,HOK ,SEK,H,2,5,5,1D,960,1.181
P,SEK,SEK ,SEK,H,2,5,5,1E,960,1.471
AB,SEK,SEK ,SEK,H,2,5,5,1F,960,0.243
P,HOK,SEK ,SEK,A,2,5,5,1G,960,0.341
AB,HOK,SEK ,SEK,A,2,5,5,1H,960,0.72
P,HOK,HOK ,SEK,A,2,5,5,2A,960,0.418
AB,HOK,HOK ,SEK,A,2,5,5,2B,960,0.981
P,SEK,HOK ,SEK,H,2,5,5,2C,960,0.393
AB,SEK,HOK ,SEK,H,2,5,5,2D,960,0.351
P,SEK,SEK ,SEK,H,2,5,5,2E,960,0.57
AB,SEK,SEK ,SEK,H,2,5,5,2F,960,0.278
P,HOK,SEK ,SEK,A,2,5,5,2G,960,0.547
AB,HOK,SEK ,SEK,A,2,5,5,2H,960,0.397
P,HOK,HOK ,SEK,A,2,5,5,3A,960,0.336
AB,HOK,HOK ,SEK,A,2,5,5,3B,960,0.185
P,SEK,HOK ,SEK,H,2,5,5,3C,960,1.543
AB,SEK,HOK ,SEK,H,2,5,5,3D,960,0.138
P,SEK,SEK ,SEK,H,2,5,5,3E,960,1.31
AB,SEK,SEK ,SEK,H,2,5,5,3F,960,0.249
P,HOK,SEK ,SEK,A,2,5,5,3G,960,0.274
AB,HOK,SEK ,SEK,A,2,5,5,3H,960,0.318
P,HOK,HOK ,SEK,A,2,4,5,4A,960,0.426
AB,HOK,HOK ,SEK,A,2,4,5,4B,960,0.782
P,SEK,HOK ,SEK,H,2,4,5,4C,960,0.304
AB,SEK,HOK ,SEK,H,2,4,5,4D,960,1.188
P,SEK,SEK ,SEK,H,2,4,5,4E,960,1.006
AB,SEK,SEK ,SEK,H,2,4,5,4F,960,0.318
P,HOK,SEK ,SEK,A,2,4,5,4G,960,0.551
AB,HOK,SEK ,SEK,A,2,4,5,4H,960,0.256
P,HOK,HOK ,SEK,A,2,4,5,5A,960,1.501
AB,HOK,HOK ,SEK,A,2,4,5,5B,960,1.392
P,SEK,HOK ,SEK,H,2,4,5,5C,960,1.349
AB,SEK,HOK ,SEK,H,2,4,5,5D,960,0.747
P,SEK,SEK ,SEK,H,2,4,5,5E,960,1.734
AB,SEK,SEK ,SEK,H,2,4,5,5F,960,1.01
P,HOK,SEK ,SEK,A,2,4,5,5G,960,0.564
AB,HOK,SEK ,SEK,A,2,4,5,5H,960,1.557
P,HOK,HOK ,HOK,H,2,4,5,6A,960,1.328
AB,HOK,HOK ,HOK,H,2,4,5,6B,960,0.486
P,SEK,HOK ,HOK,A,2,4,5,6C,960,1.001
AB,SEK,HOK ,HOK,A,2,4,5,6D,960,0.482
P,SEK,SEK ,HOK,A,2,4,5,6E,960,1.516
AB,SEK,SEK ,HOK,A,2,4,5,6F,960,1.178
P,HOK,SEK ,HOK,H,2,4,5,6G,960,0.467
AB,HOK,SEK ,HOK,H,2,4,5,6H,960,0.585
P,HOK,HOK ,HOK,H,2,3,5,7A,960,0.564
AB,HOK,HOK ,HOK,H,2,3,5,7B,960,0.129
P,SEK,HOK ,HOK,A,2,3,5,7C,960,0.901
AB,SEK,HOK ,HOK,A,2,3,5,7D,960,0.244
P,SEK,SEK ,HOK,A,2,3,5,7E,960,0.633
AB,SEK,SEK ,HOK,A,2,3,5,7F,960,1.32
P,HOK,SEK ,HOK,H,2,3,5,7G,960,0.957
AB,HOK,SEK ,HOK,H,2,3,5,7H,960,0.758
P,HOK,HOK ,HOK,H,2,3,5,8A,960,0.549
AB,HOK,HOK ,HOK,H,2,3,5,8B,960,0.176
P,SEK,HOK ,HOK,A,2,3,5,8C,960,0.279
AB,SEK,HOK ,HOK,A,2,3,5,8D,960,0.974
P,SEK,SEK ,HOK,A,2,3,5,8E,960,1.498
AB,SEK,SEK ,HOK,A,2,3,5,8F,960,0.179
P,HOK,SEK ,HOK,H,2,3,5,8G,960,0.565
AB,HOK,SEK ,HOK,H,2,3,5,8H,960,0.64
P,HOK,HOK ,HOK,H,2,3,5,9A,960,0.474
AB,HOK,HOK ,HOK,H,2,3,5,9B,960,0.39
P,SEK,HOK ,HOK,A,2,3,5,9C,960,0.392
AB,SEK,HOK ,HOK,A,2,3,5,9D,960,0.343
P,SEK,SEK ,HOK,A,2,3,5,9E,960,0.988
AB,SEK,SEK ,HOK,A,2,3,5,9F,960,0.374
P,HOK,SEK ,HOK,H,2,3,5,9G,960,0.811
AB,HOK,SEK ,HOK,H,2,3,5,9H,960,0.781
P,HOK,HOK ,HOK,H,2,2,5,10A,960,0.626
AB,HOK,HOK ,HOK,H,2,2,5,10B,960,1.001
P,SEK,HOK ,HOK,A,2,2,5,10C,960,1.071
AB,SEK,HOK ,HOK,A,2,2,5,10D,960,1.354
P,SEK,SEK ,HOK,A,2,2,5,10E,960,0.929
AB,SEK,SEK ,HOK,A,2,2,5,10F,960,0.615
P,HOK,SEK ,HOK,H,2,2,5,10G,960,1.105
AB,HOK,SEK ,HOK,H,2,2,5,10H,960,1.933
P,HOK,HOK ,SEK,A,1,5,5,1A,960,0.67325
AB,HOK,HOK ,SEK,A,1,5,5,1B,960,0.39725
P,SEK,HOK ,SEK,H,1,5,5,1C,960,0.40225
AB,SEK,HOK ,SEK,H,1,5,5,1D,960,1.33425
P,SEK,SEK ,SEK,H,1,5,5,1E,960,0.36025
AB,SEK,SEK ,SEK,H,1,5,5,1F,960,0.23025
P,HOK,SEK ,SEK,A,1,5,5,1G,960,1.30325
AB,HOK,SEK ,SEK,A,1,5,5,1H,960,0.42225
P,HOK,HOK ,SEK,A,1,5,5,2A,960,1.42725
AB,HOK,HOK ,SEK,A,1,1,5,2B,960,1.57725
P,SEK,HOK ,SEK,H,1,1,5,2C,960,1.28125
AB,SEK,HOK ,SEK,H,1,1,5,2D,960,1.37225
P,SEK,SEK ,SEK,H,1,1,5,2E,960,0.83925
AB,SEK,SEK ,SEK,H,1,1,5,2F,960,0.42725
P,HOK,SEK ,SEK,A,1,1,5,2G,960,0.61425
AB,HOK,SEK ,SEK,A,1,1,5,2H,960,1.04825
P,HOK,HOK ,SEK,A,1,1,5,3A,960,0.97325
AB,HOK,HOK ,SEK,A,1,1,5,3B,960,0.21625
P,SEK,HOK ,SEK,H,1,1,5,3C,960,1.44325
